Url,Name,Followers
https://www.lazada.vn/shop/thu-thao-store/?itemId=1573692164&channelSource=pdp,Thu Thảo Store,41581 Followers
https://www.lazada.vn/shop/shopvan99/?itemId=440930617&channelSource=pdp,Shopvan99,16070 Followers
https://www.lazada.vn/shop/hong-phuc-an/?itemId=2531297448&channelSource=pdp,Hồng Phúc An,193 Followers
https://www.lazada.vn/shop/ulzzang-store-hcm/?itemId=2437945846&channelSource=pdp,ULZZANG STORE HCM,61123 Followers
https://www.lazada.vn/shop/thu-thao-store/?itemId=269532862&channelSource=pdp,Thu Thảo Store,41581 Followers
https://www.lazada.vn/shop/bigsizeconho/?itemId=2352632566&channelSource=pdp,Bigsize Cô Nhỏ,20040 Followers
https://www.lazada.vn/shop/shop-be-gau-pijama-do-bo-dam-vay/?itemId=2401277353&channelSource=pdp,"Shop Bé Gấu Pijama , Đồ Bộ , Đầm Váy",4233 Followers
https://www.lazada.vn/shop/dairy-cow/?itemId=2003470405&channelSource=pdp,Dairy Cow,1528 Followers
https://www.lazada.vn/shop/tieu-dino/?itemId=2092643734&channelSource=pdp,Tiểu Dino,208 Followers
https://www.lazada.vn/shop/bt-fashion-passion/?itemId=1585436921&channelSource=pdp,BT Fashion - Passion,23630 Followers
https://www.lazada.vn/shop/lazada-global/?itemId=2708125597&channelSource=pdp,Lazada Global,1268043 Followers
https://www.lazada.vn/shop/dairy-cow/?itemId=2543294885&channelSource=pdp,Dairy Cow,1528 Followers
https://www.lazada.vn/shop/shop-bac-phuong-selection/?itemId=2657182185&channelSource=pdp,Shop Bắc Phương.Selection,106 Followers
https://www.lazada.vn/shop/kanaya/?itemId=2535049375&channelSource=pdp,Kanaya,1039 Followers
https://www.lazada.vn/shop/thieu-thu-store/?itemId=2655851219&channelSource=pdp,Thiều Thu Store,635 Followers
https://www.lazada.vn/shop/winny-shop-1605685735/?itemId=977388358&channelSource=pdp,WINNY SHOP 1605685735,29921 Followers
https://www.lazada.vn/shop/shop-thoi-trang-pe-heo/?itemId=2407839139&channelSource=pdp,Shop Thời Trang Pé Heo,416 Followers
https://www.lazada.vn/shop/munlive/?itemId=2728272164&channelSource=pdp,munlive,6 Followers
https://www.lazada.vn/shop/hkfashionthoitranggiasi/?itemId=327290244&channelSource=pdp,HKfashionthoitranggiasi,3824 Followers
https://www.lazada.vn/shop/ao-dai-thuy-kieu/?itemId=914380301&channelSource=pdp,Áo Dài Thuý Kiều,14564 Followers
https://www.lazada.vn/shop/kho-chuyen-si-go-vap/?itemId=1635861051&channelSource=pdp,KHO CHUYÊN SỈ GÒ VẤP,37241 Followers
https://www.lazada.vn/shop/loly-design/?itemId=2722014631&channelSource=pdp,LoLy.Design,4079 Followers
https://www.lazada.vn/shop/ngochoa-shop/?itemId=2596319675&channelSource=pdp,NgocHoa shop,859 Followers
https://www.lazada.vn/shop/thu-thao-store/?itemId=2261035825&channelSource=pdp,Thu Thảo Store,41581 Followers
https://www.lazada.vn/shop/dairy-cow/?itemId=2031177100&channelSource=pdp,Dairy Cow,1528 Followers
https://www.lazada.vn/shop/goya141/?itemId=2634224023&channelSource=pdp,goya141,1478 Followers
https://www.lazada.vn/shop/si-tui-dep-sg/?itemId=2611480032&channelSource=pdp,Sỉ Túi Đẹp SG,4678 Followers
https://www.lazada.vn/shop/thieu-thu-store/?itemId=2706847460&channelSource=pdp,Thiều Thu Store,635 Followers
https://www.lazada.vn/shop/winny-shop-1605685735/?itemId=1085984218&channelSource=pdp,WINNY SHOP 1605685735,29921 Followers
https://www.lazada.vn/shop/lazada-global/?itemId=2709819927&channelSource=pdp,Lazada Global,1268044 Followers
https://www.lazada.vn/shop/giay-nu-kat/?itemId=1936736968&channelSource=pdp,Giày Nữ KAT,19398 Followers
https://www.lazada.vn/shop/xuong-may-song-anh/?itemId=2488730362&channelSource=pdp,Xưởng May Song Anh,5812 Followers
