product_id,category_id
P0157,SHIRT
P0158,SHOES
P0159,SHOES
P0160,SHOES
P0161,SHOES
P0162,PANTS
P0162,SHORTS
P0163,SHOES
P0163,SET
P0164,SHIRT
P0165,SHOES
P0165,HAT
P0166,NOT_SURE
P0167,SHOES
P0168,NOT_SURE
P0169,SHOES
P0169,SET
P0170,SHOES
P0171,SHOES
P0171,HAT
P0172,SHOES
P0172,HAT
P0173,DRESS
P0174,PANTS
P0175,SHOES
P0176,SHOES
P0177,SHOES
P0178,SHOES
P0178,HAT
P0179,SHOES
P0180,PANTS
P0181,SHOES
P0182,SHOES
P0182,HAT
P0183,SHOES
P0184,PANTS
P0185,UNDERSHIRT
P0186,NOT_SURE
P0186,SHIRT
P0187,SHOES
P0187,HAT
P0188,SHOES
P0189,SHOES
P0190,SHOES
P0191,SHOES
P0191,SET
P0192,SHOES
P0192,HAT
P0193,SHOES
P0194,HAT
P0195,SHOES
P0196,SHOES
P0197,LONGSLEEVE
P0197,DRESS
P0197,SHIRT
P0198,SHOES
P0199,SHOES
P0200,SHOES
P0201,DRESS
P0201,SHIRT
P0202,SHOES
P0203,SHOES
P0203,HAT
P0204,SHOES
P0205,SHOES
P0205,HAT
P0206,SHOES
P0207,SHOES
P0208,SHIRT
P0208,UNDERSHIRT
P0209,SHOES
P0210,SHOES
P0211,PANTS
P0212,NOT_SURE
P0212,SHIRT
P0213,SHIRT
P0214,SHOES
P0215,SHOES
P0216,SHOES
P0217,HAT
P0218,SHOES
P0219,SHOES
P0220,SHOES
P0221,PANTS
P0222,PANTS
P0222,SHORTS
P0223,PANTS
P0224,SHOES
P0225,PANTS
P0226,SHOES
P0227,SHOES
P0227,HAT
P0228,SHOES
P0229,DRESS
P0230,SHOES
P0231,SHOES
P0232,NOT_SURE
P0233,PANTS
P0234,PANTS
P0234,SHIRT
P0234,SET
P0235,PANTS
P0236,NOT_SURE
P0237,PANTS
P0237,SHIRT
P0237,SHORTS
P0238,PANTS
P0239,PANTS
P0240,PANTS
P0241,PANTS
P0242,PANTS
P0243,DRESS
P0244,DRESS
P0244,SHIRT
P0244,SET
P0245,PANTS
P0245,SHORTS
P0246,PANTS
P0247,PANTS
P0248,PANTS
P0249,PANTS
P0250,PANTS
P0251,PANTS
P0252,SHIRT
P0253,PANTS
P0254,PANTS
P0255,LONGSLEEVE
P0255,DRESS
P0255,SHIRT
P0256,PANTS
P0257,PANTS
P0258,PANTS
P0259,PANTS
P0260,LONGSLEEVE
P0260,SHIRT
P0261,PANTS
P0262,SHOES
P0263,PANTS
P0263,SET
P0264,SHOES
P0265,SHOES
P0266,PANTS
P0267,PANTS
P0267,SHIRT
P0267,SET
P0268,SHOES
P0269,SHOES
P0269,SET
P0270,PANTS
P0271,NOT_SURE
P0271,SHIRT
P0271,SET
P0272,PANTS
P0273,PANTS
P0274,PANTS
P0275,PANTS
P0276,PANTS
P0277,SHOES
P0278,PANTS
P0279,PANTS
P0280,DRESS
P0280,SHIRT
P0281,SHOES
P0281,HAT
P0282,SHOES
P0283,SHOES
P0283,HAT
P0284,SHOES
P0285,PANTS
P0286,DRESS
P0287,NOT_SURE
P0288,SHOES
P0289,PANTS
P0289,LONGSLEEVE
P0289,SHIRT
P0290,PANTS
P0291,SHIRT
P0292,PANTS
P0293,PANTS
P0294,PANTS
P0295,HAT
P0296,SET
P0297,HAT
P0297,SET
P0298,SHOES
P0299,LONGSLEEVE
P0299,SHIRT
P0300,SHOES
P0301,SHOES
P0302,SHOES
P0303,NOT_SURE
P0303,SHIRT
P0304,SHOES
P0305,SHOES
P0305,HAT
P0306,PANTS
P0306,SHORTS
P0307,SHOES
P0308,PANTS
P0309,DRESS
P0309,BODY
P0310,SHOES
P0311,PANTS
P0312,SHOES
P0313,SHOES
P0314,SHOES
P0315,SHIRT
P0316,SHOES
P0317,SHOES
P0318,SHOES
P0319,NOT_SURE
P0319,SHIRT
P0319,SET
P0320,SHOES
P0321,SHOES
P0322,PANTS
P0322,SHIRT
P0323,SHOES
P0324,PANTS
P0324,SHIRT
P0325,SHIRT
P0326,SHIRT
P0327,SHOES
P0328,SET
P0329,PANTS
P0330,PANTS
P0331,SHOES
P0331,HAT
P0332,SHIRT
P0333,PANTS
P0334,PANTS
P0334,SHIRT
P0334,SET
P0335,PANTS
P0335,SHORTS
P0335,SET
P0336,SHOES
P0337,PANTS
P0338,SHOES
P0339,NOT_SURE
P0339,PANTS
P0339,SHIRT
P0340,DRESS
P0341,PANTS
P0342,DRESS
P0343,SHOES
P0344,SHOES
P0345,SHOES
P0346,SHOES
P0347,SHOES
P0348,NOT_SURE
P0348,SHIRT
P0349,PANTS
P0349,SHORTS
P0350,SHOES
P0351,SHIRT
P0351,BODY
P0352,NOT_SURE
P0352,SHIRT
P0353,PANTS
P0354,SHOES
P0355,PANTS
P0356,PANTS
P0357,SHOES
P0358,NOT_SURE
P0358,SHIRT
P0359,PANTS
P0360,PANTS
P0361,SHOES
P0361,HAT
P0362,SHOES
P0363,NOT_SURE
P0363,SHIRT
P0364,DRESS
P0364,SHIRT
P0365,NOT_SURE
P0365,PANTS
P0365,LONGSLEEVE
P0366,PANTS
P0366,SHIRT
P0366,SHORTS
P0367,SHIRT
P0368,DRESS
P0369,NOT_SURE
P0369,SHIRT
P0369,SET
P0370,SHOES
P0371,PANTS
P0371,SET
P0372,SHOES
P0373,PANTS
P0373,SHORTS
P0374,SHOES
P0374,HAT
P0375,SHIRT
P0376,NOT_SURE
P0376,SHIRT
P0377,SHOES
P0378,SHOES
P0378,HAT
P0379,SHOES
P0380,SHOES
P0381,PANTS
P0381,SHORTS
P0381,SET
P0382,DRESS
P0382,SKIRT
P0383,PANTS
P0384,NOT_SURE
P0384,SHIRT
P0385,PANTS
P0386,SHOES
P0387,SHOES
P0387,SHIRT
P0387,OUTWEAR
P0388,SHOES
P0389,SHOES
P0390,SHOES
P0390,HAT
P0391,NOT_SURE
P0391,PANTS
P0391,SHIRT
P0392,SHIRT
P0393,SHOES
P0394,NOT_SURE
P0394,SHIRT
P0395,DRESS
P0396,SHOES
P0396,HAT
P0397,SHOES
P0398,SHOES
P0399,SHIRT
P0399,SET
P0400,SHOES
P0400,HAT
P0401,SHOES
P0402,SHOES
P0403,SHOES
P0404,SHOES
P0405,SHOES
P0406,PANTS
P0407,SHOES
P0408,PANTS
P0409,SHOES
P0410,SHOES
P0411,SHOES
P0412,SHOES
P0413,SHOES
P0414,SHOES
P0415,NOT_SURE
P0415,SHIRT
P0416,PANTS
P0417,SHOES
P0417,HAT
P0418,SHOES
P0418,HAT
P0419,SHIRT
P0420,SHOES
P0421,NOT_SURE
P0421,SHIRT
P0422,NOT_SURE
P0422,SHIRT
P0423,SHOES
P0424,PANTS
P0425,LONGSLEEVE
P0425,SHIRT
P0426,SHOES
P0426,HAT
P0427,SHOES
P0428,SHOES
P0429,HAT
P0430,PANTS
P0431,SHOES
P0432,NOT_SURE
P0432,PANTS
P0432,SHIRT
P0433,NOT_SURE
P0433,SHIRT
P0434,SHOES
P0435,PANTS
P0435,DRESS
P0435,SHIRT
P0436,PANTS
P0436,SHORTS
P0436,HAT
P0437,HAT
P0438,PANTS
P0438,SHORTS
P0439,SHIRT
P0440,PANTS
P0441,PANTS
P0442,SHOES
P0442,HAT
P0443,PANTS
P0444,SHOES
P0445,PANTS
P0446,PANTS
P0447,SHOES
P0447,HAT
P0448,PANTS
P0449,PANTS
P0450,SHOES
P0451,SHOES
P0452,SHOES
P0453,PANTS
P0454,DRESS
P0454,SET
P0455,SHIRT
P0455,BODY
P0456,PANTS
P0456,BODY
P0457,PANTS
P0458,PANTS
P0459,PANTS
P0460,PANTS
P0461,SHOES
P0462,PANTS
P0463,PANTS
P0463,DRESS
P0463,SHIRT
P0464,SHOES
P0465,DRESS
P0465,SHIRT
P0466,DRESS
P0467,PANTS
P0468,PANTS
P0469,LONGSLEEVE
P0469,DRESS
P0470,SHOES
P0470,HAT
P0471,PANTS
P0472,PANTS
P0472,SHIRT
P0472,SHORTS
P0473,SHOES
P0474,NOT_SURE
P0474,SHIRT
P0475,PANTS
P0476,SHOES
P0477,DRESS
P0478,HAT
P0479,PANTS
P0480,PANTS
P0481,PANTS
P0482,NOT_SURE
P0483,DRESS
P0483,SHIRT
P0484,SHOES
P0485,PANTS
P0486,HAT
P0487,SHOES
P0488,PANTS
P0489,PANTS
P0489,SHIRT
P0490,NOT_SURE
P0490,SHIRT
P0491,NOT_SURE
P0491,SHIRT
P0492,HAT
P0493,DRESS
P0494,PANTS
P0495,PANTS
P0495,SHORTS
P0496,PANTS
P0497,SHOES
P0498,SHOES
P0499,PANTS
P0500,PANTS
P0500,SHORTS
P0501,PANTS
P0501,SHORTS
P0501,SET
P0502,SHOES
P0502,HAT
P0503,SHOES
P0504,PANTS
P0505,NOT_SURE
P0505,SHIRT
P0506,PANTS
P0506,HAT
P0507,SHOES
P0508,SHOES
P0509,SHOES
P0510,PANTS
P0511,SHOES
P0512,NOT_SURE
P0512,UNDERSHIRT
P0513,LONGSLEEVE
P0513,SHIRT
P0514,SHOES
P0515,SHOES
P0516,PANTS
P0517,HAT
P0518,DRESS
P0518,BODY
P0519,SHOES
P0520,PANTS
P0521,PANTS
P0521,SHIRT
P0521,SET
P0522,SHOES
P0523,PANTS
P0523,SHORTS
P0524,PANTS
P0525,PANTS
P0525,SET
P0526,SHOES
P0527,SHOES
P0528,SHOES
P0528,SET
P0529,PANTS
P0530,DRESS
P0531,SHOES
P0532,PANTS
P0532,SHORTS
P0532,SET
P0533,SHOES
P0533,HAT
P0534,NOT_SURE
P0534,SHIRT
P0535,PANTS
P0536,PANTS
P0536,DRESS
P0536,SHIRT
P0537,PANTS
P0537,LONGSLEEVE
P0537,SHIRT
P0538,SHOES
P0539,PANTS
P0540,PANTS
P0540,DRESS
P0540,SHIRT
P0541,PANTS
P0542,PANTS
P0543,SHOES
P0544,NOT_SURE
P0544,SHIRT
P0545,NOT_SURE
P0546,SHOES
P0547,SHOES
P0548,SHOES
P0549,PANTS
P0550,SHOES
P0551,SHOES
P0552,DRESS
P0553,NOT_SURE
P0553,SHIRT
P0554,SHOES
P0555,SHOES
P0556,DRESS
P0557,SHOES
P0557,HAT
P0558,SHOES
P0559,SHOES
P0560,PANTS
P0560,SHORTS
P0561,SHOES
P0561,SET
P0562,PANTS
P0562,DRESS
P0562,SHIRT
P0563,PANTS
P0563,DRESS
P0563,SHIRT
P0564,SHOES
P0565,LONGSLEEVE
P0565,SHIRT
P0565,SET
P0566,SHOES
P0566,SHIRT
P0567,PANTS
P0568,LONGSLEEVE
P0568,SHIRT
P0569,SHOES
P0570,PANTS
P0570,SHIRT
P0571,DRESS
P0571,SHIRT
P0572,LONGSLEEVE
P0572,SHIRT
P0573,NOT_SURE
P0573,PANTS
P0573,SHIRT
P0574,SHOES
P0575,SHOES
P0576,SHOES
P0577,SHOES
P0578,SHOES
P0579,SHOES
P0580,HAT
P0581,SHOES
P0582,PANTS
P0583,SHOES
P0584,HAT
P0585,SHOES
P0585,HAT
P0586,SHOES
P0587,SHOES
P0588,SHOES
P0588,HAT
P0589,NOT_SURE
P0590,LONGSLEEVE
P0590,SHIRT
P0591,SHOES
P0592,SHOES
P0593,SHIRT
P0594,SHOES
P0594,HAT
P0595,SHOES
P0596,NOT_SURE
P0597,SHIRT
P0598,SHOES
P0599,SHOES
P0599,HAT
P0600,SHOES
P0601,PANTS
P0601,SHIRT
P0601,HAT
P0602,SHOES
P0602,HAT
P0603,SHOES
P0603,HAT
P0604,SHOES
P0604,HAT
P0605,SHOES
P0605,HAT
P0606,NOT_SURE
P0606,SHIRT
P0607,SHOES
P0607,HAT
P0608,SHOES
P0608,HAT
P0609,PANTS
P0610,SHOES
P0611,SHOES
P0612,PANTS
P0613,SHOES
P0613,HAT
P0614,PANTS
P0614,SHIRT
P0614,SET
P0615,SHOES
P0616,DRESS
P0617,NOT_SURE
P0617,SHIRT
P0618,PANTS
P0618,DRESS
P0618,SHORTS
P0619,SHOES
P0620,SHIRT
P0620,OUTWEAR
P0621,SHOES
P0622,SHOES
P0623,SHOES
P0624,SHOES
P0624,HAT
P0625,NOT_SURE
P0625,SHIRT
P0625,OUTWEAR
P0626,SHOES
P0627,SHOES
P0628,SHOES
P0629,SHOES
P0630,DRESS
P0631,SHOES
P0632,PANTS
P0633,LONGSLEEVE
P0633,SHIRT
P0634,SHOES
P0635,NOT_SURE
P0635,SHIRT
P0636,SHOES
P0637,SHOES
P0638,PANTS
P0638,SHIRT
P0638,SHORTS
P0639,DRESS
P0640,DRESS
P0640,SKIRT
P0641,SHOES
P0641,HAT
P0642,SHIRT
P0643,SHOES
P0644,DRESS
P0645,PANTS
P0646,SHOES
P0647,SHIRT
P0648,NOT_SURE
P0648,SHIRT
P0649,SHIRT
P0650,NOT_SURE
P0650,SHIRT
P0651,PANTS
P0651,SHIRT
P0651,SHORTS
P0652,DRESS
P0653,NOT_SURE
P0653,SHIRT
P0654,SHOES
P0655,SHOES
P0655,HAT
P0656,PANTS
P0657,SHOES
P0658,SHOES
P0658,HAT
P0659,LONGSLEEVE
P0659,SHIRT
P0659,SET
P0660,SHOES
P0660,HAT
P0661,PANTS
P0661,SHORTS
P0661,SET
P0662,SHOES
P0663,PANTS
P0663,SHIRT
P0664,SHOES
P0664,HAT
P0665,PANTS
P0665,SHIRT
P0665,SET
P0666,SET
P0667,NOT_SURE
P0667,SHIRT
P0668,SHOES
P0669,SHOES
P0669,HAT
P0670,PANTS
P0670,DRESS
P0670,SKIRT
P0671,SHOES
P0672,PANTS
P0672,DRESS
P0672,SHIRT
P0673,SHOES
P0674,SHIRT
P0675,SHOES
P0675,HAT
P0676,HAT
P0677,PANTS
P0678,PANTS
P0678,SHOES
P0679,DRESS
P0679,SHIRT
P0679,HAT
P0680,PANTS
P0681,PANTS
P0682,SHOES
P0683,SHOES
P0684,DRESS
P0684,SKIRT
P0685,SHOES
P0686,PANTS
P0687,PANTS
P0687,SET
P0688,SHOES
P0689,SHOES
P0690,PANTS
P0690,DRESS
P0690,SHIRT
P0691,PANTS
P0691,SHORTS
P0692,SHOES
P0693,NOT_SURE
P0693,SHIRT
P0694,SHOES
P0695,HAT
P0696,HAT
P0697,NOT_SURE
P0698,SHOES
P0699,PANTS
P0699,DRESS
P0699,SHIRT
P0700,HAT
P0701,DRESS
P0702,PANTS
P0702,SHORTS
P0703,PANTS
P0703,SHORTS
P0704,SHOES
P0704,HAT
P0705,PANTS
P0706,SHOES
P0707,PANTS
P0708,NOT_SURE
P0708,SHIRT
P0709,PANTS
P0710,PANTS
P0710,SHIRT
P0710,SET
P0711,SHOES
P0712,DRESS
P0713,SHOES
P0714,NOT_SURE
P0714,SHIRT
P0715,PANTS
P0715,SHIRT
P0716,NOT_SURE
P0716,SHIRT
P0717,SHOES
P0718,NOT_SURE
P0718,SHIRT
P0719,SHOES
P0720,DRESS
P0720,SHIRT
P0721,NOT_SURE
P0721,LONGSLEEVE
P0721,SHIRT
P0722,SHOES
P0723,SHOES
P0724,SHIRT
P0725,HAT
P0726,SHOES
P0727,PANTS
P0727,SHIRT
P0728,SHOES
P0729,PANTS
P0729,SHOES
P0729,SHIRT
P0730,LONGSLEEVE
P0730,SHIRT
P0731,SHOES
P0732,SHOES
P0733,SHOES
P0734,SHOES
P0734,HAT
P0735,SHOES
P0736,SHIRT
P0737,SHOES
P0738,SHOES
P0738,HAT
P0739,HAT
P0740,PANTS
P0741,LONGSLEEVE
P0741,SHIRT
P0742,SHOES
P0743,DRESS
P0743,BODY
P0744,PANTS
P0744,SHORTS
P0745,SHOES
P0746,PANTS
P0746,DRESS
P0746,SHIRT
P0747,NOT_SURE
P0747,SHIRT
P0748,SHOES
P0749,SHOES
P0750,SHOES
P0751,SHIRT
P0752,SHOES
P0753,SHOES
P0754,SHOES
P0755,SHOES
P0756,SHOES
P0756,HAT
P0757,SHOES
P0758,SHOES
P0759,PANTS
P0759,SHIRT
P0759,SHORTS
P0760,SHOES
P0761,SHIRT
P0762,SHOES
P0762,HAT
P0763,SHOES
P0764,PANTS
P0765,SHOES
P0766,PANTS
P0766,SET
P0767,PANTS
P0767,SHIRT
P0767,OUTWEAR
P0768,DRESS
P0768,SHORTS
P0769,SHOES
P0770,PANTS
P0770,SHORTS
P0771,SHOES
P0772,SHOES
P0773,PANTS
P0774,PANTS
P0774,SHORTS
P0775,SHOES
P0776,SHOES
P0777,DRESS
P0777,SKIRT
P0778,PANTS
P0779,PANTS
P0780,PANTS
P0780,SHORTS
P0781,DRESS
P0782,SHOES
P0783,PANTS
P0784,SHOES
P0785,SHOES
P0786,DRESS
P0787,SHOES
P0788,SHOES
P0789,SHOES
P0790,PANTS
P0791,HAT
P0792,SHOES
P0792,HAT
P0793,NOT_SURE
P0794,PANTS
P0795,SHOES
P0796,PANTS
P0797,SHOES
P0797,HAT
P0798,PANTS
P0799,SHOES
P0799,HAT
P0800,SHIRT
P0801,SHOES
P0802,SHOES
P0803,SHOES
P0804,SHOES
P0805,PANTS
P0805,LONGSLEEVE
P0805,SHIRT
P0806,NOT_SURE
P0807,SHOES
P0808,PANTS
P0809,PANTS
P0809,DRESS
P0809,SHIRT
P0810,SHOES
P0810,DRESS
P0811,PANTS
P0812,HAT
P0813,PANTS
P0814,SHOES
P0814,HAT
P0815,SHOES
P0816,DRESS
P0817,SHOES
P0818,NOT_SURE
P0818,SHIRT
P0819,SET
P0820,NOT_SURE
P0821,NOT_SURE
P0821,SHIRT
P0822,SHOES
P0823,SHOES
P0824,SHIRT
P0824,UNDERSHIRT
P0825,SHOES
P0826,HAT
P0827,SHOES
P0828,NOT_SURE
P0828,SHIRT
P0829,SHOES
P0830,DRESS
P0831,SHOES
P0832,SHOES
P0833,SHOES
P0834,SHOES
P0835,DRESS
P0836,SHOES
P0837,DRESS
P0838,SHOES
P0838,HAT
P0839,DRESS
P0840,SHOES
P0841,SHOES
P0842,PANTS
P0842,SHIRT
P0843,NOT_SURE
P0844,PANTS
P0844,DRESS
P0844,SHIRT
P0845,SHOES
P0846,NOT_SURE
P0846,SHIRT
P0847,HAT
P0848,SHOES
P0849,SHOES
P0849,HAT
P0850,SHOES
P0851,NOT_SURE
P0852,SHOES
P0853,PANTS
P0854,SHOES
P0855,PANTS
P0855,SHORTS
P0855,SET
P0856,PANTS
P0857,SHOES
P0857,HAT
P0858,SHOES
P0858,HAT
P0859,SHOES
P0860,SET
P0861,PANTS
P0862,PANTS
P0862,SHORTS
P0863,SHIRT
P0863,SET
P0864,PANTS
P0864,SHORTS
P0865,PANTS
P0866,SHOES
P0867,PANTS
P0868,SHOES
P0869,LONGSLEEVE
P0869,DRESS
P0869,SHIRT
P0870,PANTS
P0871,SHIRT
P0872,PANTS
P0873,SHOES
P0874,SHOES
P0875,LONGSLEEVE
P0875,SHIRT
P0875,HAT
P0876,NOT_SURE
P0876,SHIRT
P0877,SHOES
P0877,SET
P0878,DRESS
P0879,NOT_SURE
P0879,SHIRT
P0880,SET
P0881,PANTS
P0882,SHOES
P0883,DRESS
P0883,SKIRT
P0884,DRESS
P0885,SHOES
P0885,HAT
P0886,SHOES
P0887,SHOES
P0888,SHOES
P0889,DRESS
P0890,SHOES
P0891,DRESS
P0892,SHOES
P0893,SHIRT
P0894,HAT
P0895,SHOES
P0896,SET
P0897,SHOES
P0897,HAT
P0898,HAT
P0899,PANTS
P0900,SHOES
P0901,SHOES
P0902,DRESS
P0902,HAT
P0902,SKIRT
P0903,NOT_SURE
P0903,SHIRT
P0904,SHOES
P0904,SET
P0905,DRESS
P0906,NOT_SURE
P0906,PANTS
P0906,SHIRT
P0907,SHOES
P0908,SHOES
P0909,SHOES
P0910,SHOES
P0911,SHOES
P0912,PANTS
P0913,PANTS
P0914,DRESS
P0914,HAT
P0915,HAT
P0916,LONGSLEEVE
P0916,DRESS
P0916,SHIRT
P0917,SHOES
P0917,HAT
P0918,SHOES
P0919,SHOES
P0920,SHOES
P0920,HAT
P0921,SHOES
P0922,SHOES
P0923,PANTS
P0923,SHIRT
P0923,SET
P0924,SHOES
P0925,PANTS
P0925,DRESS
P0925,SHIRT
P0926,SHOES
P0926,HAT
P0927,LONGSLEEVE
P0927,SHIRT
P0928,SHIRT
P0929,SHOES
P0930,SHOES
P0931,SHOES
P0932,NOT_SURE
P0932,SHIRT
P0933,SHOES
P0933,HAT
P0934,NOT_SURE
P0935,SHOES
P0936,SHOES
P0936,HAT
P0937,SHIRT
P0938,SHOES
P0939,PANTS
P0940,SHOES
P0941,SHIRT
P0941,UNDERSHIRT
P0942,SHOES
P0943,SHOES
P0944,NOT_SURE
P0944,SHIRT
P0945,PANTS
P0946,PANTS
P0947,SHOES
P0948,SHOES
P0949,SHOES
P0949,SET
P0950,PANTS
P0950,SHIRT
P0950,SET
P0951,SET
P0952,SHOES
P0953,SHOES
P0954,SHOES
P0955,SHOES
P0956,HAT
P0957,SHOES
P0958,PANTS
P0958,DRESS
P0958,SKIRT
P0959,SHOES
P0960,SHOES
P0961,NOT_SURE
P0961,DRESS
P0961,SKIRT
P0962,DRESS
P0962,SKIRT
P0963,DRESS
P0964,SHOES
P0964,HAT
P0965,SHOES
P0965,HAT
P0966,SHOES
P0967,NOT_SURE
P0968,DRESS
P0968,SHIRT
P0969,SHOES
P0970,SHOES
P0971,PANTS
P0971,SHIRT
P0971,SET
P0972,SHIRT
P0973,LONGSLEEVE
P0973,SHIRT
P0974,SHOES
P0975,SHOES
P0975,HAT
P0976,SHOES
P0977,HAT
P0977,UNDERSHIRT
P0978,SHOES
P0979,LONGSLEEVE
P0979,SHIRT
P0979,SET
P0980,SHOES
P0981,SHOES
P0982,PANTS
P0983,SHOES
P0983,HAT
P0984,SHIRT
P0985,NOT_SURE
P0985,DRESS
P0986,SHOES
P0987,SHOES
P0988,PANTS
P0989,SHOES
P0990,PANTS
P0991,DRESS
P0992,NOT_SURE
P0993,SHOES
P0993,HAT
P0994,SHIRT
P0995,SHOES
P0996,SHOES
P0997,SHOES
P0997,HAT
P0998,PANTS
P0998,SHORTS
P0999,SHOES
P1000,NOT_SURE
P1000,DRESS
P1000,SHIRT
P1001,DRESS
P1002,SHOES
P1003,SHOES
P1004,SHOES
P1005,PANTS
P1006,SHOES
P1007,NOT_SURE
P1008,NOT_SURE
P1008,SHIRT
P1008,SET
P1009,NOT_SURE
P1010,PANTS
P1011,PANTS
P1012,HAT
P1013,PANTS
P1013,DRESS
P1013,SHIRT
P1014,SHIRT
P1014,UNDERSHIRT
P1015,SHOES
P1015,HAT
P1016,SHOES
P1017,HAT
P1018,SHIRT
P1019,SHOES
P1019,HAT
P1020,DRESS
P1021,PANTS
P1022,PANTS
P1023,SHOES
P1024,SHOES
P1024,HAT
P1025,PANTS
P1026,PANTS
P1027,SHOES
P1028,SHIRT
P1029,SHOES
P1030,SHOES
P1030,HAT
P1031,PANTS
P1031,SHORTS
P1032,SHOES
P1032,SET
P1033,PANTS
P1034,PANTS
P1034,OUTWEAR
P1034,SHORTS
P1035,SHOES
P1036,PANTS
P1036,DRESS
P1036,SHIRT
P1037,SET
P1038,SHIRT
P1038,OUTWEAR
P1039,NOT_SURE
P1039,SHIRT
P1040,SHIRT
P1041,SHOES
P1042,DRESS
P1043,PANTS
P1043,SHIRT
P1043,SHORTS
P1044,SHOES
P1045,NOT_SURE
P1046,SHOES
P1047,SHOES
P1048,PANTS
P1048,SHIRT
P1049,SHOES
P1050,SHOES
P1051,HAT
P1052,PANTS
P1053,HAT
P1054,HAT
P1055,SHOES
P1056,HAT
P1057,SHIRT
P1057,OUTWEAR
P1057,HAT
P1058,SHIRT
P1058,UNDERSHIRT
P1059,SHIRT
P1059,OUTWEAR
P1059,HAT
P1060,PANTS
P1061,PANTS
P1061,SHORTS
P1062,SHOES
P1063,DRESS
P1064,SHOES
P1065,DRESS
P1065,SKIRT
P1066,DRESS
P1067,SHIRT
P1067,UNDERSHIRT
P1068,SHOES
P1068,HAT
P1069,SHOES
P1070,SHIRT
P1071,SHOES
P1071,HAT
P1072,HAT
P1072,SET
P1073,PANTS
P1073,SHIRT
P1074,SHOES
P1075,SHOES
P1076,NOT_SURE
P1076,SHIRT
P1076,OUTWEAR
P1077,SHOES
P1078,SHOES
P1078,HAT
P1079,SHOES
P1080,LONGSLEEVE
